date,market,category,commodity,unit,currency,price
2023-07-05,Colleenland,Vegetables,Chicken,kg,NGN,989.48
2024-03-09,Johnmouth,Fruits,Chicken,kg,NGN,137.1
2024-01-14,Johnville,Vegetables,Chicken,kg,NGN,539.37
2023-11-02,Davidmouth,Dairy,Chicken,kg,NGN,981.61
2023-06-24,East Jamie,Grains,Chicken,kg,NGN,352.53
2023-05-16,Davidmouth,Meat,Rice,kg,NGN,518.81
2023-08-06,West Brianna,Vegetables,Carrots,kg,NGN,299.63
2023-10-02,Stephenport,Fruits,Milk,kg,NGN,853.2
2024-02-04,Brownview,Dairy,Carrots,kg,NGN,260.9
2024-04-03,Johnmouth,Meat,Chicken,kg,NGN,965.49
2023-12-08,Stephenport,Meat,Carrots,kg,NGN,950.23
2024-03-17,Davidmouth,Fruits,Rice,kg,NGN,180.87
2023-07-28,Johnmouth,Grains,Rice,kg,NGN,185.27
2023-11-16,East Jamie,Grains,Chicken,kg,NGN,469.06
2023-09-09,Colleenland,Grains,Carrots,kg,NGN,944.43
2024-04-18,Stephenport,Grains,Rice,kg,NGN,479.47
2023-10-10,Colleenland,Fruits,Apples,kg,NGN,127.19
2024-03-31,Davidmouth,Vegetables,Chicken,kg,NGN,151.14
2024-01-08,Port Steveside,Vegetables,Rice,kg,NGN,742.55
2024-03-24,North Jenniferland,Meat,Carrots,kg,NGN,634.28
2024-02-22,Brownview,Fruits,Rice,kg,NGN,234.3
2024-02-18,West Brianna,Fruits,Milk,kg,NGN,442.72
2023-12-25,Johnville,Grains,Rice,kg,NGN,300.89
2024-03-10,Colleenland,Fruits,Carrots,kg,NGN,670.35
2023-11-12,Brownview,Dairy,Chicken,kg,NGN,596.91
2023-10-26,Johnville,Grains,Chicken,kg,NGN,320.51
2023-11-08,Johnmouth,Grains,Chicken,kg,NGN,617.1
2024-04-30,Johnmouth,Grains,Chicken,kg,NGN,452.58
2024-05-03,Davidmouth,Vegetables,Rice,kg,NGN,196.29
2024-01-30,Brownview,Fruits,Rice,kg,NGN,446.16
2024-01-05,Johnmouth,Fruits,Apples,kg,NGN,304.03
2023-09-30,West Brianna,Dairy,Milk,kg,NGN,663.17
2024-01-03,Stephenport,Grains,Carrots,kg,NGN,331.62
2023-12-09,Stephenport,Fruits,Milk,kg,NGN,320.7
2023-07-19,West Brianna,Fruits,Rice,kg,NGN,181.91
2023-12-22,West Brianna,Dairy,Apples,kg,NGN,346.74
2024-03-15,Colleenland,Vegetables,Carrots,kg,NGN,223.13
2023-11-21,Port Steveside,Fruits,Chicken,kg,NGN,173.84
2023-11-06,West Brianna,Grains,Carrots,kg,NGN,528.67
2023-11-17,Davidmouth,Dairy,Milk,kg,NGN,601.87
2023-07-12,Port Steveside,Vegetables,Apples,kg,NGN,128.82
2024-05-02,Colleenland,Grains,Apples,kg,NGN,244.58
2024-01-11,Davidmouth,Vegetables,Rice,kg,NGN,714.47
2023-06-22,Davidmouth,Vegetables,Carrots,kg,NGN,106.86
2023-10-24,Johnmouth,Grains,Milk,kg,NGN,360.02
2023-11-21,East Jamie,Grains,Apples,kg,NGN,159.79
2024-02-07,Johnmouth,Vegetables,Milk,kg,NGN,557.65
2023-11-11,Stephenport,Meat,Carrots,kg,NGN,145.69
2023-11-14,Davidmouth,Fruits,Carrots,kg,NGN,569.02
2023-06-23,North Jenniferland,Vegetables,Milk,kg,NGN,468.25
2023-11-26,Brownview,Vegetables,Apples,kg,NGN,472.88
2023-11-23,Port Steveside,Meat,Apples,kg,NGN,398.96
2023-12-21,North Jenniferland,Meat,Chicken,kg,NGN,564.09
2024-03-10,Brownview,Vegetables,Apples,kg,NGN,696.52
2024-02-14,Johnmouth,Grains,Milk,kg,NGN,187.92
2024-01-09,Johnmouth,Dairy,Apples,kg,NGN,993.65
2024-01-31,Colleenland,Dairy,Apples,kg,NGN,259.44
2024-02-11,North Jenniferland,Dairy,Apples,kg,NGN,357.98
2023-12-27,Port Steveside,Vegetables,Chicken,kg,NGN,385.47
2023-09-27,Colleenland,Dairy,Milk,kg,NGN,884.14
2023-10-09,Brownview,Grains,Apples,kg,NGN,753.55
2023-05-31,Colleenland,Grains,Chicken,kg,NGN,677.93
2023-12-22,Colleenland,Vegetables,Rice,kg,NGN,877.65
2023-08-19,Stephenport,Vegetables,Chicken,kg,NGN,175.5
2024-04-25,Stephenport,Fruits,Carrots,kg,NGN,405.51
2023-09-08,Colleenland,Meat,Rice,kg,NGN,503.22
2023-09-22,Davidmouth,Dairy,Milk,kg,NGN,393.54
2024-04-16,East Jamie,Fruits,Apples,kg,NGN,900.46
2024-01-01,Johnville,Meat,Carrots,kg,NGN,837.77
2023-10-27,Colleenland,Fruits,Rice,kg,NGN,974.88
2023-08-17,West Brianna,Meat,Apples,kg,NGN,375.97
2023-07-10,Brownview,Dairy,Milk,kg,NGN,352.46
2024-05-07,Stephenport,Meat,Carrots,kg,NGN,801.38
2023-09-26,Davidmouth,Fruits,Chicken,kg,NGN,750.7
2024-03-14,Johnmouth,Grains,Chicken,kg,NGN,933.35
2023-12-07,North Jenniferland,Fruits,Chicken,kg,NGN,385.45
2023-12-20,Johnmouth,Meat,Milk,kg,NGN,469.22
2023-08-17,Stephenport,Dairy,Milk,kg,NGN,135.09
2024-04-25,Port Steveside,Meat,Milk,kg,NGN,303.12
2023-12-31,Port Steveside,Fruits,Apples,kg,NGN,292.72
2023-11-03,East Jamie,Fruits,Apples,kg,NGN,821.16
2024-03-07,North Jenniferland,Grains,Chicken,kg,NGN,575.27
2023-10-25,Port Steveside,Dairy,Rice,kg,NGN,692.58
2023-07-24,Stephenport,Grains,Milk,kg,NGN,456.61
2023-08-10,Davidmouth,Dairy,Apples,kg,NGN,732.55
2023-06-09,Port Steveside,Meat,Apples,kg,NGN,797.34
2023-10-07,Johnville,Fruits,Chicken,kg,NGN,364.67
2023-06-17,Port Steveside,Meat,Milk,kg,NGN,139.01
2023-09-20,East Jamie,Meat,Apples,kg,NGN,756.4
2023-11-17,Colleenland,Grains,Rice,kg,NGN,915.44
2023-07-08,Johnville,Dairy,Apples,kg,NGN,728.55
2023-09-17,Port Steveside,Dairy,Chicken,kg,NGN,837.93
2023-08-03,Johnmouth,Grains,Rice,kg,NGN,923.32
2023-08-30,Johnmouth,Grains,Apples,kg,NGN,353.28
2023-07-08,West Brianna,Dairy,Chicken,kg,NGN,706.8
2023-08-29,Colleenland,Grains,Chicken,kg,NGN,344.01
2023-05-19,Davidmouth,Meat,Chicken,kg,NGN,664.97
2023-10-21,Johnville,Meat,Carrots,kg,NGN,241.31
2023-12-22,West Brianna,Fruits,Carrots,kg,NGN,759.72
2024-02-04,Port Steveside,Grains,Apples,kg,NGN,427.26
2023-09-08,Johnmouth,Dairy,Rice,kg,NGN,792.5
2023-07-07,North Jenniferland,Grains,Chicken,kg,NGN,144.27
2023-07-12,Colleenland,Meat,Milk,kg,NGN,315.61
2023-07-20,Colleenland,Fruits,Rice,kg,NGN,574.34
2023-06-13,North Jenniferland,Fruits,Rice,kg,NGN,673.48
2023-10-14,Stephenport,Dairy,Chicken,kg,NGN,553.17
2024-01-13,Stephenport,Vegetables,Chicken,kg,NGN,868.06
2024-04-20,Johnmouth,Meat,Milk,kg,NGN,172.85
2023-09-23,Port Steveside,Meat,Chicken,kg,NGN,646.27
2024-04-20,Colleenland,Vegetables,Carrots,kg,NGN,899.35
2023-07-07,Johnville,Vegetables,Rice,kg,NGN,555.79
2024-01-01,East Jamie,Vegetables,Milk,kg,NGN,919.32
2024-05-07,Brownview,Vegetables,Rice,kg,NGN,621.45
2023-06-27,Brownview,Dairy,Chicken,kg,NGN,394.41
2023-10-25,Davidmouth,Dairy,Chicken,kg,NGN,486.89
2023-10-22,Colleenland,Vegetables,Carrots,kg,NGN,205.1
2023-09-03,Port Steveside,Dairy,Carrots,kg,NGN,969.61
2024-02-16,West Brianna,Dairy,Carrots,kg,NGN,543.54
2023-08-23,North Jenniferland,Dairy,Carrots,kg,NGN,865.21
2024-04-25,Port Steveside,Fruits,Apples,kg,NGN,319.47
2023-10-12,Johnmouth,Vegetables,Carrots,kg,NGN,871.4
2024-01-10,Brownview,Vegetables,Milk,kg,NGN,237.48
2023-12-04,West Brianna,Fruits,Apples,kg,NGN,909.93
2023-07-21,Colleenland,Grains,Carrots,kg,NGN,841.24
2023-06-24,Brownview,Meat,Chicken,kg,NGN,741.12
2023-09-22,West Brianna,Grains,Milk,kg,NGN,284.12
2023-07-21,Colleenland,Grains,Apples,kg,NGN,611.83
2024-03-16,North Jenniferland,Grains,Rice,kg,NGN,900.42
2023-07-25,Port Steveside,Grains,Rice,kg,NGN,346.93
2023-08-01,West Brianna,Fruits,Milk,kg,NGN,376.22
2023-12-30,Brownview,Meat,Apples,kg,NGN,600.65
2024-02-26,Davidmouth,Grains,Chicken,kg,NGN,939.09
2024-01-03,West Brianna,Grains,Carrots,kg,NGN,566.13
2023-06-13,Johnville,Dairy,Milk,kg,NGN,496.16
2024-05-11,North Jenniferland,Vegetables,Rice,kg,NGN,610.24
2023-09-12,Colleenland,Dairy,Rice,kg,NGN,614.83
2023-07-17,Davidmouth,Grains,Chicken,kg,NGN,267.67
2023-12-06,Davidmouth,Vegetables,Milk,kg,NGN,999.43
2023-06-25,Stephenport,Grains,Milk,kg,NGN,854.83
2023-09-20,Port Steveside,Vegetables,Milk,kg,NGN,213.79
2023-07-07,Johnmouth,Meat,Chicken,kg,NGN,523.09
2023-05-21,Colleenland,Fruits,Rice,kg,NGN,445.65
2024-01-23,East Jamie,Fruits,Rice,kg,NGN,690.03
2023-07-03,East Jamie,Meat,Milk,kg,NGN,569.44
2024-02-26,Davidmouth,Meat,Carrots,kg,NGN,805.67
2023-10-02,Port Steveside,Grains,Carrots,kg,NGN,863.11
2023-05-15,Colleenland,Meat,Carrots,kg,NGN,680.82
2024-03-13,Johnville,Fruits,Rice,kg,NGN,822.68
2023-10-06,Davidmouth,Dairy,Rice,kg,NGN,907.92
2023-06-21,Stephenport,Meat,Carrots,kg,NGN,972.07
